"Add Event","Neuer Termin"
"Availability", "Verfügbarkeit"
"Available", "Verfügbar"
"Available on Request", "Bitte telefonisch nachfragen"
"Currently not available", "z.Z. nicht verfügbar"
"Date", "Datum"
"Delete", "Löschen"
"Location","Location"
"Normal price","Normalpreis"
"Only Abendkasse", "Nur Abendkasse"
"Qty.","Anz."
"Qty. total","Anz. gesamt"
"Qty available","Kontingent"
"Sale starting soon","VVK beginnt in Kürze"
"Sold out", "Ausverkauft"
"Some left", "Restkarten"
"Special Price", "Ermäßigter Preis"
"This section is only available with products of the attribute set 'Ticket'.", "Diese Sektion ist nur für Produkte mit dem Attributset 'Ticket' verfügbar."
"Track Quantity","Kartenkontingente tracken"
"Threshold: Only some left","Schwelle: Restkarten verfügbar"
"Threshold: Sold out","Schwelle: Ausverkauft"
"Ticket Events","Ticket Termine"
"Ticket Options","Ticket Einstellungen"
"Title and Description", "Titel und Beschreibung"
