"Data","Freischaltung"
"Activation","Aktivierung"
"Shop Language","Shop Sprache"
"Activate TrustedRating?","Kundenbewertung aktivieren?"
"Documentation","Dokumentation"
"Checkout our Specialoffer now!","Sonderkonditionen jetzt nutzen!"
"German","Deutsch"
"English","Englisch"
"French","Französisch"
"Spanish","Spanisch"
"Trusted Shops documentation","Trusted Shops Dokumentation"
"Include shipments after (Year)","Sendungen nach folgendem Datum berücksichtigen (Jahr)"
"Month","Monat"
"Day","Tag"
"Hour","Stunde"
"Minute","Minute"
"Please note that if you enter some date in the past, all customers which ordered something from than on will receive an email from this module.","Bitte beachten Sie, dass wenn Sie ein Datum in der Vergangenheit eintragen, dass alle Kunden, die seitdem etwas bestellt haben, sofort eine Email von diesem Modul bekommen werden."
"Please note: This is Magento internal time, which is in GMT.","Interne Magento-Zeit (GMT)"
"TrustedShops return value: ","TrustedShops Antwort: "
"Email with rating request","E-Mail zur Bewertungsaufforderung"
"Days after shipment","Tage nach Sendung"
"0 = Immediately after placement of the order","0 = Sofort nach Bestellungseingang"
"Mail can be sent only for orders placed after installation of this module.","Es werden nur Bestellungen (bzw. Sendungen) nach diesem Installationszeitpunkt berücksichtigt."
"Installation date (GMT)","Installationszeitpunkt (GMT)"
"Trusted Shops ratings","Trusted Shops Kundenbewertungen"
"Positive and verifiable customer ratings for online shoppers are an important indication of the online shops' trustworthiness. The necessary software is already in your shop solution, so you can get to your store ratings with just a few clicks.","Positive und nachprüfbare Kundenbewertungen sind für Online-Käufer ein wichtiger Hinweis für die Vertrauenswürdigkeit eines Online-Shops. Die notwendige Software ist bereits in Ihrer Shoplösung vorhanden, sodass Sie mit wenigen Klicks auch in Ihrem Shop Kundenbewertungen einholen können."
"The users evaluate the quality of the website, the delivery of the product and customer service. Additionally, the buyers can add a free comment to their evaluation.","Die Nutzer bewerten die Qualität der Webseite, der Lieferung, der Ware und des Kundenservices. Zusätzlich können die Käufer ihrer Bewertung einen freien Kommentar hinzufügen."
"Your benefits","Ihre Vorteile"
"Get to know your customer's needs better and improve your service. <br /> Make such satisfied customers your best sellers!","Lernen Sie die Wünsche Ihrer Kunden besser kennen und verbessern Sie Ihren Service.<br /> Machen Sie so zufriedene Kunden zu Ihren besten Verkäufern!"
"More sales with more confidence","Mehr Umsatz durch mehr Vertrauen"
"Guidance for your clients","Orientierungshilfe für Ihre Kunden"
"Real ratings in the shop","Echte Kundenmeinungen im Shop"
"Better service through feedback","Besserer Service durch Feedback"
"Web-based solution without the expense","Webbasierte Lösung ohne Aufwand"
"Basis for shop improvements","Basis für Shop-Optimierungen"
"Evaluations and benchmarks","Auswertungen und Benchmarks"
"How it works","So funktioniert es"
"You log in to this site for the Trusted Shops ratings.","Sie melden sich auf dieser Seite für die Trusted Shops Kundenbewertungen an."
"You will receive your access data and your personal Trusted Shops ID by e-mail, which you should then enter in the input field. The widget then integrates itself automatically into the template as well as integrates the evaluation request into the system e-mails.","Sie erhalten Ihre Zugangsdaten und Ihre persönliche Trusted Shops ID per E-Mail, die Sie dann bitte in das Eingabefeld eingeben. Das Widget integriert sich dann automatisch in das Shop-Template und die Bewertungsauffoderung in die System E-Mails."
"Your customers leave evaluations, that you can check and confirm. In the business area you can analyze the customer ratings.","Ihre Käufer geben Bewertungen ab, die Sie prüfen und bestätigen können. Im geschützten Bereich können Sie die Kundenbewertungen analysieren."
"Trusted Shops Customer Rating","Trusted Shops Kundenbewertung"
"For online buyers, positive and verifiable customer ratings are an important indication of an online shop's trustworthiness. The required software is already included in Market Ready Germany for Magento, so you can start collecting customer ratings in your online shop too in just a few clicks.","Positive und nachprüfbare Kundenbewertungen sind für Online-Käufer ein wichtiger Hinweis für die Vertrauenswürdigkeit eines Online-Shops. Die notwendige Software ist bereits in Market Ready Germany für Magento vorhanden, sodass Sie mit wenigen Klicks auch in Ihrem Shop Kundenbewertungen einholen können."
"Orientation support for your customers","Orientierungshilfe für Ihre Kunden"
"Satisfied customers are your best salespeople. Let your customers speak for themselves as to how safe and easy it is to buy from your online shop.","Zufriedene Kunden sind die besten Verkäufer. Lassen Sie Ihre Kunden für sich sprechen, wie sicher und bequem in Ihrem Online-Shop eingekauft werden kann."
"Basis for shop optimisation","Basis für Shop-Optimierungen"
"Your customers are happy to help you optimise your shop with their feedback. After all, the better your online shop works, the more satisfied your customers will be.","Zufriedene Kunden sind die besten Verkäufer. Lassen Sie Ihre Kunden für sich sprechen, wie sicher und bequem in Ihrem Online-Shop eingekauft werden kann."
"Increase reach via Facebook, Twitter and Google","Reichweite steigern durch Facebook, Twitter und Google"
"Your customers spread reviews and rating on Facebook and Twitter directly to friends and followers. Ratings are automatically listed in the Google-Index and are displayed in Google Shopping.","Ihre Kunden verbreiten Shop-Empfehlungen über Facebook und Twitter direkt an Freunde und Bekannte. Bewertungen fließen automatisch in den Google-Index und werden zudem in Google Shopping angezeigt."
"http://www.trustedshops.com/merchants/membership.html","https://www.trustedshops.de/shopbetreiber/kundenbewertung_anmeldung.html"
