"0 = Immediately after placement of the order","0 = Immediatamente después de orden de pedido"
"Activate TrustedRating?","¿Valoración del Vendedor activada?"
"Activation","Activación"
"Basis for shop improvements","Bases para la mejora de la tienda"
"Basis for shop optimisation","Bases para la optimización de la tienda"
"Better service through feedback","Mejor servicio a través de las valoraciones"
"Checkout our Specialoffer now!","¡Aprovéchese de nuestra oferta especial ahora!"
"Data","Activación"
"Day","Día"
"Days after shipment","Días después del envío"
"Documentation","Documentación"
"Email with rating request","E-Mail con petición de valoración de la tienda"
"English","Inglés"
"Evaluations and benchmarks","Valoraciones y referencias"
"For online buyers, positive and verifiable customer ratings are an important indication of an online shop's trustworthiness. The required software is already included in Market Ready Germany for Magento, so you can start collecting customer ratings in your online shop too in just a few clicks.","Para los compradores online, las valoraciones positivas y verificables de los clientes son un indicador importante de la confiabilidad de una tienda online. El software necesario ya está incluido en el mercado español, listo para Magento, para que también pueda empezar a recoger las valoraciones de los clientes en su tienda online en tan sólo unos pocos clics."
"French","Francés"
"German","Alemán"
"Spanish","Español"
"Get to know your customer's needs better and improve your service. <br /> Make such satisfied customers your best sellers!","Conozca las necesidades de sus clientes para mejorar su servicio. <br /> Haga que de sus clientes satisfechos, sean sus mejores vendedores."
"Guidance for your clients","Guía para sus clientes"
"Hour","Hora"
"How it works","Cómo funciona?"
"http://www.trustedshops.com/merchants/membership.html","https://www.trustedshops.es/comerciante/"
"Include shipments after (Year)","Incluye el envío después de (año)"
"Increase reach via Facebook, Twitter and Google","Aumentar la difusión a través de Facebook, Twitter y Google"
"Installation date (GMT)","Fecha de instalación (GMT)"
"Mail can be sent only for orders placed after installation of this module.","El E-Mail sólo puede ser enviado para los pedidos realizados después de la instalación de este módulo."
"Minute","Minuto"
"Month","Mes"
"More sales with more confidence","Más ventas con más confianza"
"Orientation support for your customers","Soporte y ayuda para sus clientes"
"Please note that if you enter some date in the past, all customers which ordered something from than on will receive an email from this module.","Tenga en cuenta que si se introduce una fecha en el pasado, todos los clientes que encargaron algo en ese periodo de tiempo recibirán un E-Mail de este módulo."
"Please note: This is Magento internal time, which is in GMT.","Tiempo interno de Magento (GMT)"
"Please rate the shop","Por favor, valore la tienda"
"Positive and verifiable customer ratings for online shoppers are an important indication of the online shops' trustworthiness. The necessary software is already in your shop solution, so you can get to your store ratings with just a few clicks.","Las valoraciones positivas y verificables de los compradores online son un indicador importante de las tiendas dignas de confianza. El software necesario ya se encuentra disponible como una solución para que pueda obtener en unos pocos clics, las calificaciones de su tienda."
"Real ratings in the shop","Valoraciones reales en la tienda"
"Satisfied customers are your best salespeople. Let your customers speak for themselves as to how safe and easy it is to buy from your online shop.","Los clientes satisfechos son sus mejores vendedores. Deje que sus clientes hablen por sí mismos acerca de lo seguro y fácil que es comprar en su tienda online."
"Shop Language <font color=""red"">*</font>","Idioma de la tienda <font color=""red"">*</font>"
"The users evaluate the quality of the website, the delivery of the product and customer service. Additionally, the buyers can add a free comment to their evaluation.","Los usuarios valoran la calidad de la página web, la entrega del producto y el servicio al cliente. Además, los compradores pueden agregar un comentario libre para su evaluación."
"Trusted Shops Customer Rating","Valoración del Vendedor de Trusted Shops"
"Trusted Shops documentation","Documentación de Trusted Shops"
"Trusted Shops ratings","Valoraciones del Vendedor de Trusted Shops"
"TrustedShops return value: ","Valor de retorno de Trusted Shops"
"Web-based solution without the expense","Solución web basada sin gasto"
"You log in to this site for the Trusted Shops ratings.","Sus datos de registro para las valoraciones de Trusted Shops"
"You will receive your access data and your personal Trusted Shops ID by e-mail, which you should then enter in the input field. The widget then integrates itself automatically into the template as well as integrates the evaluation request into the system e-mails.","Usted recibirá sus datos de acceso y sus datos personales de identificación de Trusted Shops por E-mail, que luego debe introducir en el campo de entrada. A continuación el widget se integra automáticamente en la plantilla así como también el sistema de envío de Emails para solicitar la valoración de la tienda."
"Your benefits","Sus ventajas"
"Your customers are happy to help you optimise your shop with their feedback. After all, the better your online shop works, the more satisfied your customers will be.","Sus clientes están encantados de ayudar a optimizar su tienda con sus comentarios. Después de todo, cuanto mejor funcione su tienda, más satisfechos estarán sus clientes."
"Your customers leave evaluations, that you can check and confirm. In the business area you can analyze the customer ratings.","Sus clientes dejan las valoraciones, que usted puede comprobar y confirmar. En nuestro sistema protegido usted puede analizar las valoraciones de los clientes."
"Your customers spread reviews and rating on Facebook and Twitter directly to friends and followers. Ratings are automatically listed in the Google-Index and are displayed in Google Shopping.","Sus clientes dejan sus comentarios y valoraciones directamente a amigos y seguidores de Facebook y Twitter. Las valoraciones se muestran automáticamente en el Google-Index en Google Shopping."
